Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"BotCommand.java",9,0,9,0,3,,,,,1,0,2,1,,1,1,2,,,,1,,0,0,0,1,,54,4,39,31,6,11,,19,23,19,4,,3,,1,,,0,28,3
File,"BotCommandScope.java",0,0,0,0,0,,,,,1,0,0,0,,1,1,0,,,,1,,1,0,0,0,,50,2,9,8,0,39,,6,7,7,0,,0,,0,,,4,33,0
File,"BotCommandScopeAllChatAdministrators.java",4,1,3,0,1,,,,,1,0,1,1,,1,1,1,,,,1,,0,0,0,1,,39,5,25,23,2,9,,12,14,14,0,,1,,0,,,0,36,1
File,"BotCommandScopeAllGroupChats.java",4,1,3,0,1,,,,,1,0,1,1,,1,1,1,,,,1,,0,0,0,1,,39,5,25,23,2,9,,12,14,14,0,,1,,0,,,0,36,1
File,"BotCommandScopeAllPrivateChats.java",4,1,3,0,1,,,,,1,0,1,1,,1,1,1,,,,1,,0,0,0,1,,39,5,25,23,2,9,,12,14,14,0,,1,,0,,,0,36,1
File,"BotCommandScopeChat.java",5,0,5,0,1,,,,,2,0,2,3,,3,3,2,,,,3,,0,0,0,3,,66,7,47,36,8,12,,21,27,22,5,,2,,1,,,0,26,4
File,"BotCommandScopeChatAdministrators.java",5,0,5,0,1,,,,,2,0,2,3,,3,3,2,,,,3,,0,0,0,3,,66,7,47,36,8,12,,21,27,22,5,,2,,1,,,0,26,4
File,"BotCommandScopeChatMember.java",6,0,6,0,2,,,,,2,0,3,3,,3,3,3,,,,3,,0,0,0,3,,76,7,54,40,11,15,,24,31,24,7,,3,,1,,,0,28,5
File,"BotCommandScopeDefault.java",4,1,3,0,1,,,,,1,0,1,1,,1,1,1,,,,1,,0,0,0,1,,40,5,25,23,2,10,,12,14,14,0,,1,,0,,,0,40,1
File,"BotCommandScopeDeserializer.java",13,0,13,0,4,,,,,8,0,0,3,,3,3,1,,,,3,,0,1,0,2,,68,7,57,25,29,4,,30,35,23,14,,9,,1,,,0,07,11
